method,infection,connectivity,removed_edges,seed
Threshold,0.425,0.868421052631579,20,1025
Top-K,0.65,0.8552631578947368,22,1025
Dynamic RL,0.475,0.868421052631579,20,1025
No Pruning,0.5,1.0,0,1026
Random,0.47750000000000004,0.868421052631579,20,1026
Degree Centrality,0.6,0.868421052631579,20,1026
Betweenness Centrality,0.575,0.868421052631579,20,1026
Threshold,0.425,0.868421052631579,20,1026
Top-K,0.45,0.868421052631579,20,1026
Dynamic RL,0.175,0.868421052631579,20,1026
No Pruning,0.65,1.0,0,1027
Random,0.58,0.868421052631579,20,1027
Degree Centrality,0.75,0.868421052631579,20,1027
Betweenness Centrality,0.55,0.868421052631579,20,1027
Threshold,0.475,0.868421052631579,20,1027
Top-K,0.25,0.8618421052631579,21,1027
Dynamic RL,0.575,0.868421052631579,20,1027
No Pruning,0.725,1.0,0,1028
Random,0.6174999999999999,0.868421052631579,20,1028
Degree Centrality,0.625,0.868421052631579,20,1028
Betweenness Centrality,0.65,0.868421052631579,20,1028
Threshold,0.7,0.868421052631579,20,1028
Top-K,0.525,0.8552631578947368,22,1028
Dynamic RL,0.55,0.868421052631579,20,1028
No Pruning,0.65,1.0,0,1029
Random,0.645,0.868421052631579,20,1029
Degree Centrality,0.6,0.868421052631579,20,1029
Betweenness Centrality,0.575,0.868421052631579,20,1029
Threshold,0.675,0.868421052631579,20,1029
Top-K,0.55,0.8552631578947368,22,1029
Dynamic RL,0.175,0.868421052631579,20,1029
No Pruning,0.8,1.0,0,1030
Random,0.5625,0.868421052631579,20,1030
Degree Centrality,0.525,0.868421052631579,20,1030
Betweenness Centrality,0.425,0.868421052631579,20,1030
Threshold,0.6,0.868421052631579,20,1030
Top-K,0.55,0.8552631578947368,22,1030
Dynamic RL,0.4,0.868421052631579,20,1030
No Pruning,0.725,1.0,0,1031
Random,0.735,0.868421052631579,20,1031
Degree Centrality,0.525,0.868421052631579,20,1031
Betweenness Centrality,0.725,0.868421052631579,20,1031
Threshold,0.75,0.868421052631579,20,1031
Top-K,0.3,0.881578947368421,18,1031
Dynamic RL,0.75,0.868421052631579,20,1031
No Pruning,0.75,1.0,0,1032
Random,0.585,0.868421052631579,20,1032
Degree Centrality,0.35,0.868421052631579,20,1032
Betweenness Centrality,0.325,0.868421052631579,20,1032
Threshold,0.8,0.868421052631579,20,1032
Top-K,0.3,0.8618421052631579,21,1032
Dynamic RL,0.625,0.868421052631579,20,1032
No Pruning,0.45,1.0,0,1033
Random,0.5875,0.868421052631579,20,1033
Degree Centrality,0.525,0.868421052631579,20,1033
Betweenness Centrality,0.2,0.868421052631579,20,1033
Threshold,0.575,0.868421052631579,20,1033
Top-K,0.275,0.868421052631579,20,1033
Dynamic RL,0.45,0.868421052631579,20,1033
No Pruning,0.65,1.0,0,1034
Random,0.515,0.868421052631579,20,1034
Degree Centrality,0.275,0.868421052631579,20,1034
Betweenness Centrality,0.675,0.868421052631579,20,1034
Threshold,0.225,0.868421052631579,20,1034
Top-K,0.55,0.875,19,1034
Dynamic RL,0.425,0.868421052631579,20,1034
No Pruning,0.775,1.0,0,1035
Random,0.505,0.868421052631579,20,1035
Degree Centrality,0.325,0.868421052631579,20,1035
Betweenness Centrality,0.625,0.868421052631579,20,1035
Threshold,0.55,0.868421052631579,20,1035
Top-K,0.575,0.881578947368421,18,1035
Dynamic RL,0.4,0.868421052631579,20,1035
No Pruning,0.55,1.0,0,1036
Random,0.3975,0.868421052631579,20,1036
Degree Centrality,0.35,0.868421052631579,20,1036
Betweenness Centrality,0.275,0.868421052631579,20,1036
